id,name,club,age,league,nationality,height_cm,weight_kg,pace,shooting,passing,dribbling,defense,physical,gk_habilities,position
23,Thiago,FC Bayern Munich,26,German Bundesliga,Spain,174,70,72,75,85,90,62,63,9,Midfielder
24,P. Aubameyang,Borussia Dortmund,28,German Bundesliga,Gabon,187,80,96,84,75,81,37,71,10,Striker
25,L. Bonucci,Milan,30,Italian Serie A,Italy,190,85,68,54,70,70,87,81,3,Defender
26,J. Boateng,FC Bayern Munich,28,German Bundesliga,Germany,192,90,75,50,72,67,88,84,9,Defender
27,D. Godín,Atlético Madrid,31,Spanish Primera División,Uruguay,186,78,67,48,65,63,88,79,10,Defender
28,M. Hummels,FC Bayern Munich,28,German Bundesliga,Germany,191,92,64,58,75,71,89,76,8,Defender
29,M. Özil,Arsenal,28,English Premier League,Germany,180,76,71,74,87,86,24,58,10,Midfielder
30,H. Lloris,Tottenham Hotspur,30,English Premier League,France,188,82,88,86,68,90,64,82,83,Goalkeeper
31,Thiago Silva,Paris Saint-Germain,32,French Ligue 1,Brazil,183,79,72,56,73,73,89,79,9,Defender
32,Z. Ibrahimović,Manchester United,35,English Premier League,Sweden,195,95,65,88,81,82,32,82,12,Striker
33,A. Robben,FC Bayern Munich,33,German Bundesliga,Netherlands,180,80,86,86,81,91,32,63,10,Striker
34,N. Kanté,Chelsea,26,English Premier League,France,168,68,81,66,75,79,81,84,11,Midfielder
35,M. Verratti,Paris Saint-Germain,24,French Ligue 1,Italy,165,60,65,59,84,89,79,68,13,Midfielder
36,P. Pogba,Manchester United,24,English Premier League,France,191,84,74,79,84,85,68,88,4,Midfielder
37,C. Eriksen,Tottenham Hotspur,25,English Premier League,Denmark,182,76,75,78,88,84,47,63,9,Midfielder
38,A. Vidal,FC Bayern Munich,30,German Bundesliga,Chile,180,75,75,81,80,79,83,84,3,Midfielder
39,E. Cavani,Paris Saint-Germain,30,French Ligue 1,Uruguay,184,71,77,83,72,80,42,81,11,Striker
40,Marcelo,Real Madrid CF,29,Spanish Primera División,Brazil,174,75,78,69,80,86,83,79,7,Defender
41,M. Hamšík,Napoli,29,Italian Serie A,Slovakia,183,79,74,80,84,84,68,71,9,Midfielder
42,I. Rakitić,FC Barcelona,29,Spanish Primera División,Croatia,184,78,65,84,86,83,60,66,10,Midfielder
43,David Silva,Manchester City,31,English Premier League,Spain,173,67,68,72,87,87,38,61,1,Midfielder
44,S. Handanovič,Inter,32,Italian Serie A,Slovenia,193,92,87,86,69,87,56,87,83,Goalkeeper
45,Piqué,FC Barcelona,30,Spanish Primera División,Spain,194,85,65,61,69,65,86,76,12,Defender
46,Iniesta,FC Barcelona,33,Spanish Primera División,Spain,171,68,71,70,87,90,58,58,9,Midfielder
47,H. Kane,Tottenham Hotspur,23,English Premier League,England,188,86,73,87,72,78,42,83,11,Striker
48,J. Rodríguez,FC Bayern Munich,25,German Bundesliga,Colombia,180,75,76,85,85,83,40,68,13,Striker
49,Isco,Real Madrid CF,25,Spanish Primera División,Spain,176,74,71,83,82,89,54,62,10,Midfielder
50,D. Alaba,FC Bayern Munich,25,German Bundesliga,Austria,180,76,86,73,81,80,82,74,10,Defender
51,R. Lukaku,Manchester United,24,English Premier League,Belgium,190,94,83,85,70,74,34,84,11,Striker
52,Alex Sandro,Juventus,26,Italian Serie A,Brazil,181,81,86,65,77,81,81,84,8,Defender
53,T. Müller,FC Bayern Munich,27,German Bundesliga,Germany,186,75,77,82,77,78,46,71,10,Striker
54,Sergio Busquets,FC Barcelona,28,Spanish Primera División,Spain,189,76,40,59,79,74,82,81,10,Midfielder
55,Coutinho,Liverpool,25,English Premier League,Brazil,171,71,82,78,83,88,35,64,10,Midfielder
56,M. Reus,Borussia Dortmund,28,German Bundesliga,Germany,180,75,88,87,84,86,39,64,12,Striker
57,T. Alderweireld,Tottenham Hotspur,28,English Premier League,Belgium,187,91,66,58,72,65,87,80,13,Defender
58,David Luiz,Chelsea,30,English Premier League,Brazil,189,84,70,64,74,71,84,81,11,Defender
59,Diego Costa,Chelsea,28,English Premier League,Spain,186,87,75,83,65,76,40,88,11,Striker
60,R. Nainggolan,Roma,29,Italian Serie A,Belgium,176,77,78,80,78,82,81,83,11,Midfielder
61,Javi Martínez,FC Bayern Munich,28,German Bundesliga,Spain,190,81,50,60,69,65,86,80,9,Defender
62,D. Mertens,Napoli,30,Italian Serie A,Belgium,169,61,90,82,79,89,36,55,8,Striker
63,Sokratis,Borussia Dortmund,29,German Bundesliga,Greece,186,85,78,52,55,60,87,84,7,Defender
64,Miranda,Inter,32,Italian Serie A,Brazil,186,78,71,49,60,67,88,77,11,Defender
65,K. Benzema,Real Madrid CF,29,Spanish Primera División,France,187,79,78,82,78,82,22,74,8,Striker
66,Cesc Fàbregas,Chelsea,30,English Premier League,Spain,180,77,63,77,88,80,61,64,11,Midfielder
67,F. Ribéry,FC Bayern Munich,34,German Bundesliga,France,170,72,82,76,83,90,25,58,9,Midfielder
68,Pepe,Beşiktaş JK,34,Turkish Süper Lig,Portugal,188,81,68,51,57,61,86,80,9,Defender
69,P. Čech,Arsenal,35,English Premier League,Czech Republic,196,90,82,87,76,81,42,83,82,Goalkeeper
70,Y. Carrasco,Atlético Madrid,23,Spanish Primera División,Belgium,180,67,88,79,78,88,29,63,10,Striker
71,R. Varane,Real Madrid CF,24,Spanish Primera División,France,191,78,83,45,61,64,84,79,10,Defender
72,Morata,Chelsea,24,English Premier League,Spain,189,85,83,81,71,80,24,74,4,Striker
73,Casemiro,Real Madrid CF,25,Spanish Primera División,Brazil,184,80,62,68,74,72,84,86,13,Midfielder
74,L. Insigne,Napoli,26,Italian Serie A,Italy,163,59,90,74,82,89,25,50,9,Midfielder
75,Koke,Atlético Madrid,25,Spanish Primera División,Spain,178,74,72,75,86,82,65,76,11,Midfielder
76,A. Lacazette,Arsenal,26,English Premier League,France,175,73,86,83,71,85,38,77,7,Striker
77,K. Navas,Real Madrid CF,30,Spanish Primera División,Costa Rica,185,78,89,78,72,88,53,80,81,Goalkeeper
78,H. Mkhitaryan,Manchester United,28,English Premier League,Armenia,177,75,86,79,80,87,54,70,8,Midfielder
79,D. Subašić,AS Monaco,32,French Ligue 1,Croatia,191,84,84,79,79,87,53,85,83,Goalkeeper
80,B. Leno,Bayer 04 Leverkusen,25,German Bundesliga,Germany,190,83,85,84,74,83,49,85,82,Goalkeeper
81,M. ter Stegen,FC Barcelona,25,Spanish Primera División,Germany,187,85,84,83,87,86,45,81,84,Goalkeeper
82,K. Glik,AS Monaco,29,French Ligue 1,Poland,190,80,56,32,44,53,86,84,9,Defender
83,Jordi Alba,FC Barcelona,28,Spanish Primera División,Spain,170,68,93,69,75,82,81,72,12,Defender
84,I. Gündoğan,Manchester City,26,English Premier League,Germany,180,80,71,74,83,87,64,71,10,Midfielder
85,Azpilicueta,Chelsea,27,English Premier League,Spain,178,78,79,55,75,74,86,78,9,Defender
86,A. Di María,Paris Saint-Germain,29,French Ligue 1,Argentina,180,75,86,77,82,86,47,68,10,Midfielder
87,M. Pjanić,Juventus,27,Italian Serie A,Bosnia Herzegovina,180,70,74,71,86,86,67,69,8,Midfielder
88,C. Marchisio,Juventus,31,Italian Serie A,Italy,180,73,78,72,83,84,76,74,3,Midfielder
89,J. Vertonghen,Tottenham Hotspur,30,English Premier League,Belgium,189,88,67,65,73,70,85,81,9,Defender
90,B. Matuidi,Juventus,30,Italian Serie A,France,175,70,78,67,77,75,83,84,10,Midfielder
91,S. Ruffier,AS Saint-Étienne,30,French Ligue 1,France,188,93,82,84,77,87,48,85,83,Goalkeeper
92,Filipe Luís,Atlético Madrid,31,Spanish Primera División,Brazil,182,73,79,62,77,77,82,79,10,Defender
93,V. Kompany,Manchester City,31,English Premier League,Belgium,193,85,63,54,65,64,84,83,8,Defender
94,A. Barzagli,Juventus,36,Italian Serie A,Italy,187,87,71,34,57,64,88,73,3,Defender
95,E. Bailly,Manchester United,23,English Premier League,Ivory Coast,187,77,78,42,59,65,84,84,11,Defender
96,Marco Asensio,Real Madrid CF,21,Spanish Primera División,Spain,180,75,82,82,83,83,39,61,10,Midfielder
97,Bernardo Silva,Manchester City,22,English Premier League,Portugal,173,64,81,72,81,90,45,61,11,Midfielder
98,A. Laporte,Athletic Club de Bilbao,23,Spanish Primera División,France,189,85,69,50,66,61,86,78,9,Defender
99,D. Alli,Tottenham Hotspur,21,English Premier League,England,188,80,76,81,77,82,64,78,8,Midfielder
100,S. Mané,Liverpool,25,English Premier League,Senegal,175,69,93,78,75,85,36,75,11,Striker
101,Carvajal,Real Madrid CF,25,Spanish Primera División,Spain,173,73,82,45,73,79,83,79,13,Defender
102,J. Draxler,Paris Saint-Germain,23,French Ligue 1,Germany,187,72,78,80,82,86,34,64,10,Striker
103,M. Icardi,Inter,24,Italian Serie A,Argentina,181,75,78,83,61,75,26,70,9,Striker
104,K. Koulibaly,Napoli,26,Italian Serie A,Senegal,195,89,73,26,43,56,85,86,9,Defender
105,T. Horn,1. FC Köln,24,German Bundesliga,Germany,192,90,83,81,83,86,48,82,83,Goalkeeper
106,K. Manolas,Roma,26,Italian Serie A,Greece,189,83,80,19,42,60,86,83,10,Defender
107,S. Mustafi,Arsenal,25,English Premier League,Germany,184,82,67,57,63,62,83,79,10,Defender
108,Ander Herrera,Manchester United,27,English Premier League,Spain,182,70,73,72,81,83,78,77,11,Midfielder
109,N. Matić,Manchester United,28,English Premier League,Serbia,194,85,64,70,77,72,80,87,11,Midfielder
110,K. Strootman,Roma,27,Italian Serie A,Netherlands,186,78,67,74,82,78,78,82,9,Midfielder
111,Pedro,Chelsea,29,English Premier League,Spain,169,65,82,77,77,85,37,62,10,Striker
112,R. Bürki,Borussia Dortmund,26,German Bundesliga,Switzerland,187,85,84,83,73,85,48,79,81,Goalkeeper
113,Bruno,Villarreal CF,33,Spanish Primera División,Spain,184,73,41,72,79,75,78,77,10,Midfielder
114,I. Perišić,Inter,28,Italian Serie A,Croatia,187,80,84,80,78,82,42,75,8,Striker
115,E. Džeko,Roma,31,Italian Serie A,Bosnia Herzegovina,193,84,64,83,70,74,32,72,13,Striker
116,Willian,Chelsea,28,English Premier League,Brazil,175,77,88,76,81,86,49,64,12,Midfielder
117,S. Khedira,Juventus,30,Italian Serie A,Germany,189,89,64,74,80,76,80,84,10,Midfielder
118,R. Fährmann,FC Schalke 04,28,German Bundesliga,Germany,196,95,83,86,52,87,43,85,79,Goalkeeper
119,Sergio Asenjo,Villarreal CF,28,Spanish Primera División,Spain,189,87,86,83,76,85,56,82,82,Goalkeeper
120,Juan Mata,Manchester United,29,English Premier League,Spain,170,63,67,76,84,84,32,55,9,Midfielder
121,M. Benatia,Juventus,30,Italian Serie A,Morocco,190,92,74,42,54,64,85,82,7,Defender
122,Falcao,AS Monaco,31,French Ligue 1,Colombia,177,72,69,84,68,78,37,74,9,Striker
123,L. Koscielny,Arsenal,31,English Premier League,France,186,75,75,41,62,65,85,78,10,Defender
124,G. Cahill,Chelsea,31,English Premier League,England,193,86,63,58,52,61,84,78,9,Defender
125,Dani Alves,Paris Saint-Germain,34,French Ligue 1,Brazil,172,68,82,68,81,85,77,66,8,Defender
126,A. Gómez,Atalanta,29,Italian Serie A,Argentina,165,68,90,77,80,89,31,58,9,Striker
127,Aduriz,Athletic Club de Bilbao,36,Spanish Primera División,Spain,182,78,70,83,65,77,46,80,11,Striker
128,K. Mbappé,Paris Saint-Germain,18,French Ligue 1,France,178,73,90,80,74,85,47,74,8,Striker
129,O. Dembélé,FC Barcelona,20,Spanish Primera División,France,178,67,91,76,75,89,33,56,10,Striker
130,N. Keïta,RB Leipzig,22,German Bundesliga,Guinea,172,64,73,71,77,89,62,70,12,Midfielder
131,J. Giménez,Atlético Madrid,22,Spanish Primera División,Uruguay,185,76,70,45,51,52,84,81,10,Defender
132,G. Rulli,Real Sociedad,25,Spanish Primera División,Argentina,189,84,85,79,75,86,51,82,81,Goalkeeper
133,T. Lemar,AS Monaco,21,French Ligue 1,France,170,58,85,78,80,86,62,70,12,Midfielder
134,João Mário,Inter,24,Italian Serie A,Portugal,179,73,73,70,80,83,70,71,9,Midfielder
135,N. Süle,FC Bayern Munich,21,German Bundesliga,Germany,195,97,65,41,51,49,83,81,12,Defender
136,Ederson,Manchester City,23,English Premier League,Brazil,188,86,81,76,82,87,63,78,81,Goalkeeper
137,L. Goretzka,FC Schalke 04,22,German Bundesliga,Germany,189,79,85,74,80,80,78,76,11,Midfielder
138,Fabinho,AS Monaco,23,French Ligue 1,Brazil,188,78,74,65,76,76,83,83,9,Defender
139,M. Salah,Liverpool,25,English Premier League,Egypt,175,71,93,73,74,87,45,66,12,Striker
140,A. Belotti,Torino,23,Italian Serie A,Italy,181,72,82,81,57,78,29,84,11,Striker
141,E. Forsberg,RB Leipzig,25,German Bundesliga,Sweden,179,78,75,74,83,83,30,66,11,Midfielder
142,Marquinhos,Paris Saint-Germain,23,French Ligue 1,Brazil,183,75,71,38,68,69,84,76,9,Defender
143,William Carvalho,Sporting CP,25,Portuguese Primeira Liga,Portugal,187,83,53,57,77,74,80,83,9,Midfielder
144,S. Umtiti,FC Barcelona,23,Spanish Primera División,France,182,75,74,64,71,71,82,79,13,Defender
145,R. Mahrez,Leicester City,26,English Premier League,Algeria,179,67,82,74,78,88,28,55,11,Striker
146,V. van Dijk,Southampton,25,English Premier League,Netherlands,193,92,73,60,67,69,83,85,12,Defender
147,Roberto Firmino,Liverpool,25,English Premier League,Brazil,181,76,77,81,79,85,46,77,9,Striker
148,Danilo Pereira,FC Porto,25,Portuguese Primeira Liga,Portugal,188,83,68,62,69,74,82,87,12,Midfielder
149,Vitolo,UD Las Palmas,27,Spanish Primera División,Spain,184,80,80,77,79,83,28,76,13,Midfielder
150,A. Lopes,Olympique Lyonnais,26,French Ligue 1,Portugal,184,81,86,79,73,85,62,79,80,Goalkeeper
151,S. de Vrij,Lazio,25,Italian Serie A,Netherlands,189,78,68,41,58,65,85,76,10,Defender
152,M. Perin,Genoa,24,Italian Serie A,Italy,188,77,80,85,71,90,56,78,81,Goalkeeper
153,J. Matip,Liverpool,25,English Premier League,Cameroon,195,90,67,46,68,66,84,78,11,Defender
154,I. Gueye,Everton,27,English Premier League,Senegal,174,66,76,60,70,77,83,81,9,Midfielder
155,Iago Aspas,RC Celta de Vigo,29,Spanish Primera División,Spain,176,67,81,83,73,85,29,63,12,Striker
156,C. Immobile,Lazio,27,Italian Serie A,Italy,185,85,83,84,61,79,38,76,9,Striker
157,N. Otamendi,Manchester City,29,English Premier League,Argentina,183,81,63,56,59,54,83,81,10,Defender
158,J. Pastore,Paris Saint-Germain,28,French Ligue 1,Argentina,187,78,71,75,83,85,58,64,10,Midfielder
159,Parejo,Valencia CF,28,Spanish Primera División,Spain,182,74,52,77,87,78,61,69,10,Midfielder
160,S. Kagawa,Borussia Dortmund,28,German Bundesliga,Japan,175,68,70,68,76,87,34,49,10,Midfielder
161,G. Bonaventura,Milan,27,Italian Serie A,Italy,181,75,78,77,82,83,67,73,12,Midfielder
162,B. Dost,Sporting CP,28,Portuguese Primeira Liga,Netherlands,196,89,60,83,57,64,43,83,10,Striker
163,K. Walker,Manchester City,27,English Premier League,England,183,83,90,63,73,76,80,81,11,Defender
164,Oscar,,25,,Brazil,179,67,74,75,79,82,43,47,12,Midfielder
165,S. N'Zonzi,Sevilla FC,28,Spanish Primera División,France,190,75,57,67,73,71,80,88,14,Midfielder
166,M. Musacchio,Milan,26,Italian Serie A,Argentina,180,73,70,51,67,58,84,78,9,Defender
167,O. Toprak,Borussia Dortmund,27,German Bundesliga,Turkey,186,83,76,39,62,67,85,75,11,Defender
168,José Callejón,Napoli,30,Italian Serie A,Spain,178,73,90,78,71,83,35,65,10,Striker
169,Adrien Silva,,28,,Portugal,175,69,65,76,82,81,78,72,9,Midfielder
170,S. Giovinco,Toronto FC,30,USA Major League Soccer,Italy,163,61,84,81,79,87,27,57,4,Striker
171,N. Gaitán,Atlético Madrid,29,Spanish Primera División,Argentina,173,68,81,74,81,85,39,55,8,Midfielder
172,M. Mandžukić,Juventus,31,Italian Serie A,Croatia,190,86,72,78,71,74,65,87,9,Striker
173,A. Lallana,Liverpool,29,English Premier League,England,172,73,73,75,80,84,65,74,11,Midfielder
174,B. Höwedes,Juventus,29,Italian Serie A,Germany,187,82,64,47,63,64,83,77,9,Defender
175,E. Banega,Sevilla FC,29,Spanish Primera División,Argentina,174,71,69,70,85,84,62,67,9,Midfielder
176,Rui Patrício,Sporting CP,29,Portuguese Primeira Liga,Portugal,190,84,85,81,80,82,55,79,81,Goalkeeper
177,Y. Sommer,Borussia Mönchengladbach,28,German Bundesliga,Switzerland,183,79,81,82,83,83,51,80,82,Goalkeeper
178,D. Payet,Olympique de Marseille,30,French Ligue 1,France,175,77,74,78,85,87,37,69,12,Midfielder
179,M. Schneiderlin,Everton,27,English Premier League,France,185,75,68,62,76,77,79,81,10,Midfielder
180,Jonas,SL Benfica,33,Portuguese Primeira Liga,Brazil,182,74,65,85,75,84,35,65,9,Striker
181,L. Piszczek,Borussia Dortmund,32,German Bundesliga,Poland,184,79,79,69,76,74,81,80,11,Defender
182,E. Garay,Valencia CF,30,Spanish Primera División,Argentina,189,90,43,64,66,64,84,80,12,Defender
183,A. Valencia,Manchester United,31,English Premier League,Ecuador,180,83,87,66,75,81,78,85,10,Defender
184,K. Schmeichel,Leicester City,30,English Premier League,Denmark,189,89,83,82,82,86,61,80,83,Goalkeeper
185,M. Dembélé,Tottenham Hotspur,29,English Premier League,Belgium,185,88,76,72,77,85,75,84,14,Midfielder
186,Borja Valero,Inter,32,Italian Serie A,Spain,175,73,70,69,85,86,63,65,7,Midfielder
187,L. Perrin,AS Saint-Étienne,31,French Ligue 1,France,181,80,68,65,69,67,86,80,10,Defender
188,L. Biglia,Milan,31,Italian Serie A,Argentina,178,63,69,63,81,80,75,75,10,Midfielder
189,Diego López,RCD Espanyol,35,Spanish Primera División,Spain,196,89,77,84,76,80,44,83,80,Goalkeeper
190,Santi Cazorla,Arsenal,32,English Premier League,Spain,168,66,65,76,85,85,61,63,8,Midfielder
191,J. Mascherano,FC Barcelona,33,Spanish Primera División,Argentina,174,73,65,53,71,68,82,77,7,Midfielder
192,W. Sneijder,OGC Nice,33,French Ligue 1,Netherlands,170,72,69,78,86,82,38,57,10,Midfielder
193,Nani,Lazio,30,Italian Serie A,Portugal,177,68,81,79,81,86,24,64,8,Midfielder
194,D. De Rossi,Roma,33,Italian Serie A,Italy,184,83,68,64,73,70,81,82,10,Defender
195,José Reina,Napoli,34,Italian Serie A,Spain,188,92,80,83,82,82,57,82,82,Goalkeeper
196,Quaresma,Beşiktaş JK,33,Turkish Süper Lig,Portugal,175,67,83,76,81,88,18,60,11,Striker
197,Y. Touré,Manchester City,34,English Premier League,Ivory Coast,189,90,63,82,80,76,70,83,11,Midfielder
198,Casillas,FC Porto,36,Portuguese Primeira Liga,Spain,185,84,86,74,58,85,58,80,77,Goalkeeper
199,G. Donnarumma,Milan,18,Italian Serie A,Italy,196,90,88,78,72,88,50,78,81,Goalkeeper
200,L. Sané,Manchester City,21,English Premier League,Germany,183,75,94,77,72,86,35,70,10,Striker
201,T. Bakayoko,Chelsea,22,English Premier League,France,189,85,73,49,70,77,81,83,12,Midfielder
202,C. Tolisso,FC Bayern Munich,22,German Bundesliga,France,181,78,74,76,78,78,76,83,11,Midfielder
203,N. Fekir,Olympique Lyonnais,23,French Ligue 1,France,173,78,80,78,77,87,31,75,12,Striker
204,J. Seri,OGC Nice,25,French Ligue 1,Ivory Coast,168,65,80,71,82,81,72,74,12,Midfielder
205,K. Baldé Diao,AS Monaco,22,French Ligue 1,Senegal,181,80,92,76,72,86,29,70,11,Striker
206,J. Tah,Bayer 04 Leverkusen,21,German Bundesliga,Germany,192,92,72,27,58,58,82,78,10,Defender
207,F. Bernardeschi,Juventus,23,Italian Serie A,Italy,183,75,84,76,77,86,34,65,13,Striker
208,T. Werner,RB Leipzig,21,German Bundesliga,Germany,180,75,92,79,65,81,28,65,10,Striker
209,André Gomes,FC Barcelona,23,Spanish Primera División,Portugal,188,84,68,71,78,78,71,81,10,Midfielder
210,A. Martial,Manchester United,21,English Premier League,France,181,76,90,79,71,86,41,74,10,Striker
211,Q. Promes,Spartak Moscow,25,Russian Premier League,Netherlands,174,72,89,81,76,83,29,67,10,Striker
212,Lucas Vázquez,Real Madrid CF,26,Spanish Primera División,Spain,173,70,83,73,81,82,43,67,10,Midfielder
213,Saúl,Atlético Madrid,22,Spanish Primera División,Spain,181,70,73,69,78,81,77,75,10,Midfielder
214,Felipe,FC Porto,28,Portuguese Primeira Liga,Brazil,185,77,68,41,59,61,83,81,10,Defender
215,C. Bacca,Villarreal CF,30,Spanish Primera División,Colombia,181,77,77,79,64,79,24,70,9,Striker
216,F. Vázquez,Sevilla FC,28,Spanish Primera División,Italy,186,82,64,77,80,83,43,76,12,Midfielder
217,M. Kovačić,Real Madrid CF,23,Spanish Primera División,Croatia,178,77,81,69,82,85,61,71,7,Midfielder
218,Sergio Rico,Sevilla FC,23,Spanish Primera División,Spain,194,88,79,80,78,83,52,82,80,Goalkeeper
219,Manu Trigueros,Villarreal CF,25,Spanish Primera División,Spain,178,71,73,74,80,81,65,69,10,Midfielder
220,A. Rüdiger,Chelsea,24,English Premier League,Germany,190,85,74,40,64,63,82,79,12,Defender
221,F. Thauvin,Olympique de Marseille,24,French Ligue 1,France,179,70,82,76,78,84,36,63,10,Striker
222,S. Savić,Atlético Madrid,26,Spanish Primera División,Montenegro,187,79,63,35,52,56,83,74,13,Defender
223,Iñigo Martínez,Real Sociedad,26,Spanish Primera División,Spain,182,79,71,56,63,61,82,79,13,Defender
224,Roque Mesa,Swansea City,28,English Premier League,Spain,171,74,77,61,76,77,73,80,10,Midfielder
225,A. Florenzi,Roma,26,Italian Serie A,Italy,173,67,85,79,78,82,76,76,10,Midfielder
226,D. Klaassen,Everton,24,English Premier League,Netherlands,179,70,73,80,74,74,67,79,11,Midfielder
227,K. Bellarabi,Bayer 04 Leverkusen,27,German Bundesliga,Germany,183,80,92,77,74,85,33,68,10,Striker
228,R. Sterling,Manchester City,22,English Premier League,England,170,69,93,71,74,85,46,61,13,Defender
229,Suso,Milan,23,Italian Serie A,Spain,176,70,82,75,81,87,23,51,11,Midfielder
230,Deulofeu,FC Barcelona,23,Spanish Primera División,Spain,177,73,93,70,75,88,26,61,13,Striker
231,E. Dier,Tottenham Hotspur,23,English Premier League,England,188,90,72,63,71,65,81,85,11,Defender
232,M. Rojo,Manchester United,27,English Premier League,Argentina,187,80,71,59,69,68,81,83,10,Defender
233,Lucas,Paris Saint-Germain,24,French Ligue 1,Brazil,172,72,93,74,75,86,45,62,11,Striker
234,H. Son,Tottenham Hotspur,24,English Premier League,Korea Republic,183,77,86,83,75,83,25,66,11,Striker
235,F. Acerbi,Sassuolo,29,Italian Serie A,Italy,192,88,62,50,58,58,85,77,11,Defender
236,G. Xhaka,Arsenal,24,English Premier League,Switzerland,185,82,50,66,79,72,72,78,9,Midfielder
237,Jonathan Viera,UD Las Palmas,27,Spanish Primera División,Spain,170,64,81,75,81,86,53,68,13,Midfielder
238,Pizzi,SL Benfica,27,Portuguese Primeira Liga,Portugal,177,72,79,77,81,83,61,69,12,Midfielder
239,Willian José,Real Sociedad,25,Spanish Primera División,Brazil,189,93,67,82,65,76,37,77,14,Striker
240,A. Yarmolenko,Borussia Dortmund,27,German Bundesliga,Ukraine,190,83,81,78,81,83,37,78,8,Striker
241,O. Baumann,TSG 1899 Hoffenheim,27,German Bundesliga,Germany,187,82,82,82,64,84,49,81,79,Goalkeeper
242,G. Medel,Beşiktaş JK,29,Turkish Süper Lig,Chile,171,71,74,48,68,70,81,81,8,Defender
243,Víctor Ruíz,Villarreal CF,28,Spanish Primera División,Spain,185,78,58,42,64,60,83,81,9,Defender
244,X. Shaqiri,Stoke City,25,English Premier League,Switzerland,169,72,83,77,78,85,46,65,12,Midfielder
245,J. Cuadrado,Juventus,29,Italian Serie A,Colombia,179,71,91,74,75,87,61,65,8,Striker
246,Douglas Costa,Juventus,26,Italian Serie A,Brazil,170,65,92,77,77,85,32,64,11,Striker
247,N. Clyne,Liverpool,26,English Premier League,England,175,67,83,61,71,77,80,76,11,Defender
248,Iborra,Leicester City,29,English Premier League,Spain,190,91,50,73,73,68,83,83,11,Midfielder
249,V. Wanyama,Tottenham Hotspur,26,English Premier League,Kenya,184,87,64,66,70,74,82,91,12,Defender
250,Taison,Shakhtar Donetsk,29,Ukrainian Premier League,Brazil,172,64,92,79,75,86,47,63,11,Striker
251,Marlos,Shakhtar Donetsk,29,Ukrainian Premier League,Ukraine,174,69,83,76,78,87,48,66,10,Midfielder
252,L. Stindl,Borussia Mönchengladbach,28,German Bundesliga,Germany,181,80,71,84,79,79,65,74,11,Striker
253,M. Balotelli,OGC Nice,26,French Ligue 1,Italy,189,88,80,83,70,79,26,77,2,Striker
254,A. Ramsey,Arsenal,26,English Premier League,Wales,183,76,68,75,79,81,65,75,8,Midfielder
255,W. Szczęsny,Juventus,27,Italian Serie A,Poland,196,85,83,77,74,87,49,78,80,Goalkeeper
256,G. Sigurðsson,Everton,27,English Premier League,Iceland,186,77,66,81,84,79,52,70,12,Midfielder
